iter	Passed	Remaining
678	34485	16303
679	34561	16264
680	34649	16230
681	34731	16194
682	34790	16147
683	34857	16103
684	34931	16063
685	34978	16010
686	35028	15959
687	35128	15930
688	35199	15888
689	35261	15842
690	35362	15813
691	35553	15824
692	35663	15798
693	35737	15757
694	35822	15720
695	35894	15678
696	35983	15642
697	36082	15611
698	36154	15568
699	36215	15520
700	36276	15472
701	36347	15429
702	36393	15375
703	36435	15319
704	36479	15264
705	36516	15206
706	36552	15148
707	36636	15109
708	36690	15058
709	36738	15005
710	36784	14951
711	36831	14897
712	36873	14842
713	36913	14786
714	36951	14728
715	36997	14674
716	37037	14618
717	37082	14564
718	37130	14511
719	37170	14455
720	37218	14402
721	37280	14354
722	37362	14314
723	37400	14257
724	37436	14200
725	37499	14152
726	37557	14103
727	37608	14051
728	37679	14006
729	37731	13955
730	37789	13905
731	37838	13853
732	37898	13804
733	37934	13747
734	37972	13690
735	38008	13633
736	38056	13580
737	38146	13542
738	38228	13501
739	38278	13449
740	38325	13395
741	38373	13342
742	38424	13290
743	38472	13237
744	38522	13185
745	38608	13145
746	38679	13100
747	38728	13047
748	38768	12991
749	38802	12934
750	38838	12877
751	38877	12821
752	38922	12767
753	38985	12719
754	39032	12666
755	39080	12613
756	39120	12557
757	39170	12505
758	39211	12450
759	39245	12393
760	39273	12334
761	39310	12277
762	39354	12224
763	39391	12168
764	39429	12112
765	39479	12060
766	39549	12014
767	39613	11966
768	39671	11916
769	39709	11861
770	39744	11804
771	39784	11749
772	39827	11695
773	39858	11638
774	39896	11582
775	39935	11527
776	39981	11474
777	40031	11423
778	40068	11367
779	40114	11314
780	40152	11259
781	40212	11210
782	40275	11161
783	40323	11109
784	40384	11060
785	40431	11008
786	40468	10952
787	40507	10897
788	40594	10856
789	40656	10807
790	40697	10753
791	40769	10707
792	40841	10661
793	40891	10609
794	40929	10554
795	40976	10501
796	41027	10449
797	41073	10396
798	41149	10351
799	41234	10308
800	41305	10261
801	41389	10218
802	41443	10167
803	41487	10113
